shape,carat,color,overtone,intensity,clarity,cut,authentication,price,natural
Round,0.31,Yellow,-,Fancy Light,SI1,Very Good,GIA,640,Natural
Round,0.23,Yellow,-,Fancy Light,SI2,Very Good,GIA,650,Natural
Round,0.25,Yellow,-,Fancy Light,VVS2,Ideal,GIA,730,Natural
Round,0.23,Yellow,-,Fancy,VS1,Ideal,GIA,770,Natural
Round,0.27,Yellow,-,Fancy,I1,Fair,GIA,920,Natural
Round,0.3,Yellow,-,Fancy Light,VS2,Ideal,GIA,920,Natural
Round,0.33,Yellow,-,Fancy Light,SI2,Very Good,GIA,1020,Natural
Round,0.39,Yellow,-,Fancy,I1,Fair,GIA,1040,Natural
Round,0.26,Yellow,-,Fancy Light,VS1,Ideal,GIA,1040,Natural
Round,0.53,Yellow,-,Fancy Light,SI2,Fair,GIA,1060,Natural
Round,0.3,Yellow,-,Fancy,SI2,Very Good,GIA,1070,Natural
Round,0.35,Yellow,-,Fancy Light,VS2,Very Good,GIA,1160,Natural
Round,0.3,Yellow,-,Fancy,VS2,Very Good,GIA,1260,Natural
Round,0.36,Yellow,-,Fancy,SI2,Fair,GIA,1260,Natural
Round,0.31,Yellow,-,Fancy,VVS2,Ideal,GIA,1300,Natural
Round,0.34,Yellow,-,Fancy Intense,SI2,Fair,IGI,1340,Natural
Round,0.32,Yellow,-,Fancy,VS2,Very Good,GIA,1350,Natural
Round,0.53,Yellow,-,Fancy Light,SI1,Fair,GIA,1460,Natural
Round,0.36,Yellow,-,Fancy,VVS2,Very Good,GIA,1490,Natural
Round,0.29,Yellow,-,Fancy Intense,SI2,Very Good,GIA,1600,Natural
Round,0.3,Yellow,-,Fancy Intense,SI2,Very Good,GIA,1650,Natural
Round,0.31,Yellow,-,Fancy Intense,SI2,Fair,GIA,1710,Natural
Round,0.31,Yellow,-,Fancy Intense,SI2,Fair,GIA,1710,Natural
Round,0.32,Yellow,-,Fancy Intense,VS2,Ideal,GIA,1760,Natural
Round,0.3,Yellow,-,Fancy Deep,SI1,Very Good,GIA,2020,Natural
Round,0.32,Yellow,-,Fancy Intense,SI1,Very Good,GIA,2160,Natural
Round,0.32,Yellow,-,Fancy Intense,SI1,Very Good,GIA,2160,Natural
Round,0.34,Yellow,-,Fancy Intense,SI1,Very Good,GIA,2290,Natural
Round,0.58,Yellow,-,Fancy Light,SI1,Ideal,GIA,2300,Natural
Round,0.3,Yellow,-,Fancy Deep,VVS2,Very Good,GIA,2380,Natural
Round,0.3,Yellow,-,Fancy Vivid,SI2,Very Good,GIA,2380,Natural
Round,0.31,Yellow,-,Fancy Vivid,SI2,Very Good,GIA,2460,Natural
Round,0.52,Yellow,-,Fancy,VS2,Fair,GIA,2540,Natural
Round,0.32,Yellow,-,Fancy Deep,VS2,Very Good,GIA,2540,Natural
Round,0.33,Yellow,-,Fancy Vivid,SI2,Very Good,GIA,2610,Natural
Round,0.53,Yellow,-,Fancy Light,VS2,Very Good,GIA,2660,Natural
Round,0.45,Yellow,-,Fancy Intense,VS1,Fair,GIA,2690,Natural
Round,0.41,Yellow,-,Fancy Deep,SI1,Ideal,GIA,2710,Natural
Round,0.3,Yellow,-,Fancy Vivid,SI1,Very Good,GIA,2770,Natural
Round,0.31,Yellow,-,Fancy Vivid,SI1,Very Good,GIA,2870,Natural
Round,0.28,Yellow,-,Fancy Vivid,VS1,Fair,GIA,2960,Natural
Round,0.34,Yellow,-,Fancy Vivid,SI1,Very Good,GIA,3080,Natural
Round,0.36,Yellow,-,Fancy Vivid,SI1,Very Good,GIA,3260,Natural
Round,0.3,Yellow,-,Fancy Vivid,VS1,Very Good,GIA,3300,Natural
Round,0.5,Yellow,-,Fancy Vivid,SI2,Very Good,GIA,3300,Natural
Round,0.4,Yellow,-,Fancy Vivid,SI2,Ideal,GIA,3360,Natural
Round,0.31,Yellow,-,Fancy Vivid,VVS2,Ideal,GIA,3410,Natural
Round,0.31,Yellow,-,Fancy Vivid,VVS1,Ideal,GIA,3410,Natural
Round,0.32,Yellow,-,Fancy Vivid,VS2,Very Good,GIA,3520,Natural
Round,0.33,Yellow,-,Fancy Vivid,VVS2,Very Good,GIA,3630,Natural
Round,0.33,Yellow,-,Fancy Vivid,VS2,Very Good,GIA,3630,Natural
Round,0.41,Yellow,-,Fancy Vivid,SI1,Very Good,GIA,3710,Natural
Round,0.43,Yellow,-,Fancy Vivid,VS2,Fair,GIA,3720,Natural
Round,0.5,Yellow,-,Fancy Deep,SI1,Ideal,GIA,3880,Natural
Round,0.5,Yellow,-,Fancy Deep,SI1,Very Good,GIA,3880,Natural
Round,0.5,Yellow,-,Fancy Deep,SI1,Very Good,GIA,3880,Natural
Round,0.51,Yellow,-,Fancy Vivid,SI2,Good,GIA,3940,Natural
Round,0.51,Yellow,-,Fancy Vivid,SI2,Very Good,GIA,3960,Natural
Round,0.57,Yellow,-,Fancy Deep,SI2,Very Good,GIA,4050,Natural
Round,0.54,Yellow,-,Fancy Deep,SI1,Ideal,GIA,4100,Natural
Round,0.41,Yellow,-,Fancy Vivid,SI2,Very Good,GIA,4150,Natural
Round,0.39,Yellow,-,Fancy Vivid,VS1,Ideal,GIA,4200,Natural
Round,0.56,Yellow,-,Fancy Deep,SI1,Very Good,GIA,4260,Natural
Round,1.02,Yellow,-,Fancy,SI2,Ideal,GIA,5170,Natural
Round,0.51,Yellow,-,Fancy Vivid,SI2,Ideal,GIA,5170,Natural
Round,0.52,Yellow,-,Fancy Vivid,SI2,Very Good,GIA,5270,Natural
Round,0.52,Yellow,-,Fancy Deep,VS2,Very Good,GIA,5270,Natural
Round,0.5,Yellow,-,Fancy Intense,VS2,Very Good,GIA,5380,Natural
Round,0.51,Yellow,-,Fancy Intense,VS2,Ideal,GIA,5490,Natural
Round,0.53,Yellow,-,Fancy Intense,VS1,Very Good,GIA,5700,Natural
Round,1.57,Yellow,-,Fancy Light,VVS2,Very Good,GIA,5840,Natural
Round,1,Yellow,-,Fancy,SI1,Fair,GIA,6200,Natural
Round,0.5,Yellow,-,Fancy Vivid,SI1,Ideal,GIA,6200,Natural
Round,0.51,Yellow,-,Fancy Vivid,SI1,Ideal,GIA,6320,Natural
Round,0.51,Yellow,-,Fancy Vivid,SI1,Ideal,GIA,6320,Natural
Round,1.06,Yellow,-,Fancy,SI1,Fair,GIA,6570,Natural
Round,1,Yellow,-,Fancy,SI2,Fair,GIA,6820,Natural
Round,0.73,Yellow,-,Fancy Deep,VS1,Ideal,GIA,7240,Natural
Round,0.9,Yellow,-,Fancy Deep,SI1,Good,GIA,7810,Natural
Round,0.5,Yellow,-,Fancy Vivid,VS2,Very Good,GIA,8060,Natural
Round,0.5,Yellow,-,Fancy Vivid,VS2,Ideal,GIA,8060,Natural
Round,0.51,Yellow,-,Fancy Vivid,VS1,Ideal,GIA,8220,Natural
Round,1.1,Yellow,-,Fancy,VVS1,Good,GIA,8400,Natural
Round,1.51,Yellow,-,Fancy Light,I1,Good,GIA,8420,Natural
Round,1.02,Yellow,-,Fancy,VVS2,Fair,GIA,9110,Natural
Round,1.35,Yellow,-,Fancy,VS2,Good,GIA,9820,Natural
Round,0.91,Yellow,-,Fancy Deep,VVS2,Ideal,GIA,9930,Natural
Round,0.71,Yellow,-,Fancy Vivid,SI1,Ideal,GIA,10330,Natural
Round,1.04,Yellow,-,Fancy Vivid,I1,Fair,GIA,10720,Natural
Round,0.9,Yellow,-,Fancy Intense,VVS1,Very Good,GIA,10910,Natural
Round,0.65,Yellow,-,Fancy Vivid,VS2,Very Good,GIA,11040,Natural
Round,0.66,Yellow,-,Fancy Vivid,VVS1,Ideal,GIA,11200,Natural
Round,1.85,Yellow,-,Fancy Light,SI1,Very Good,IGI,12340,Natural
Round,0.91,Yellow,-,Fancy Intense,SI1,Very Good,GIA,12500,Natural
Round,0.71,Yellow,-,Fancy Vivid,VS1,Very Good,GIA,12910,Natural
Round,1.02,Yellow,-,Fancy Intense,VS2,Fair,GIA,13150,Natural
Round,1.01,Yellow,-,Fancy Intense,VS1,Ideal,GIA,14520,Natural
Round,1.05,Yellow,-,Fancy Intense,VS1,Very Good,GIA,15090,Natural
Round,1.61,Yellow,-,Fancy Deep,SI2,Ideal,GIA,15430,Natural
Round,1.05,Yellow,-,Fancy,SI1,Ideal,GIA,16940,Natural
Round,1.2,Yellow,-,Fancy Deep,VVS2,Ideal,GIA,17250,Natural
Round,1.53,Yellow,-,Fancy Intense,I1,Very Good,GIA,18330,Natural
Round,1.32,Yellow,-,Fancy Deep,VVS2,Ideal,GIA,18980,Natural
Round,1.28,Yellow,-,Fancy Vivid,SI2,Very Good,GIA,21470,Natural
Round,3.01,Yellow,-,Fancy,VS2,Fair,GIA,21630,Natural
Round,1.01,Yellow,-,Fancy Vivid,SI1,Very Good,GIA,21780,Natural
Round,1.01,Yellow,-,Fancy Vivid,SI1,Fair,GIA,21780,Natural
Round,1.02,Yellow,-,Fancy Vivid,SI1,Ideal,GIA,21990,Natural
Round,0.92,Yellow,-,Fancy Vivid,VVS2,Ideal,GIA,22040,Natural
Round,1.58,Yellow,-,Fancy Intense,VVS2,Fair,GIA,23660,Natural
Round,2.17,Yellow,-,Fancy Intense,SI2,Very Good,GIA,25990,Natural
Round,1.02,Yellow,-,Fancy Vivid,VS1,Very Good,GIA,26880,Natural
Round,1.54,Yellow,-,Fancy Vivid,VS1,Very Good,GIA,27030,Natural
Round,2.91,Yellow,-,Fancy,VS1,Good,GIA,28010,Natural
Round,2.89,Yellow,-,Fancy,VVS1,Very Good,GIA,28390,Natural
Round,2.03,Yellow,-,Fancy Deep,I1,Very Good,GIA,30050,Natural
Round,1.03,Yellow,-,Fancy Vivid,VVS2,Ideal,GIA,30840,Natural
Round,2.14,Yellow,-,Fancy Intense,VS2,Fair,GIA,32040,Natural
Round,1.52,Yellow,-,Fancy Vivid,SI2,Very Good,GIA,32770,Natural
Round,1.2,Yellow,-,Fancy Vivid,VS2,Ideal,GIA,33060,Natural
Round,3.02,Yellow,-,Fancy,VS2,Very Good,GIA,34360,Natural
Round,3.82,Yellow,-,Fancy,VS1,Fair,GIA,61770,Natural
Round,1.5,Yellow,-,Fancy Vivid,VS1,Fair,GIA,71240,Natural
Round,2.02,Yellow,-,Fancy Vivid,VS2,Good,GIA,91930,Natural
Round,3.01,Yellow,-,Fancy Deep,VS2,Very Good,GIA,108150,Natural
Round,3.02,Yellow,-,Fancy Deep,VS2,Very Good,GIA,108510,Natural
Round,3.03,Yellow,-,Fancy Deep,SI2,Fair,GIA,108870,Natural
Round,2.05,Yellow,-,Fancy Vivid,SI1,Good,GIA,115490,Natural
Round,2.03,Yellow,-,Fancy Vivid,VVS2,Ideal,GIA,133720,Natural
Round,3.93,Yellow,-,Fancy Vivid,VS2,Good,GIA,152220,Natural
Round,4.5,Yellow,-,Fancy Vivid,VS2,Fair,GIA,619770,Natural
Round,0.34,Pink,Brownish,Fancy,SI2,Good,GIA,1750,Natural
Round,0.27,Pink,Purple,Fancy,-,Fair,GIA,2180,Natural
Round,0.2,Pink,-,Fancy Light,I1,Fair,GIA,2690,Natural
Round,0.61,Pink,Brownish,Fancy Light,I1,Very Good,GIA,3580,Natural
Round,0.24,Pink,Brownish Orangy,Fancy,SI2,Very Good,GIA,6070,Natural
Round,0.34,Pink,Purplish,Fancy,SI1,Good,GIA,8430,Natural
Round,0.52,Pink,Brownish Orangy,Fancy,SI2,Unknown,GIA,8570,Natural
Round,0.25,Pink,Orangy,Fancy,SI2,Fair,GIA,8590,Natural
Round,0.4,Pink,-,Fancy Light,SI2,Fair,GIA,8730,Natural
Round,0.37,Pink,Purplish,Fancy,I1,Fair,GIA,10170,Natural
Round,0.25,Pink,Purplish,Fancy,VS2,Fair,GIA,10300,Natural
Round,0.59,Pink,Brown,Fancy,SI1,Fair,GIA,10730,Natural
Round,0.46,Pink,Purplish,Fancy Light,-,Fair,GIA,11380,Natural
Round,0.51,Pink,Brownish Orangy,Fancy Deep,I1,Good,GIA,12610,Natural
Round,0.3,Pink,-,Fancy Intense,I1,Fair,GIA,13440,Natural
Round,0.31,Pink,Purplish,Fancy Intense,I1,Fair,GIA,16830,Natural
Round,0.4,Pink,-,Fancy,I1,Fair,GIA,19000,Natural
Round,0.66,Pink,-,Fancy,I1,Fair,GIA,31350,Natural
Round,0.47,Pink,Purplish,Fancy Intense,SI2,Very Good,GIA,63780,Natural
Round,0.7,Pink,-,Fancy,SI2,Very Good,GIA,80740,Natural
Round,0.26,Orange,Yellow,Fancy,I1,Very Good,GIA,930,Natural
Round,0.29,Orange,Yellow,Fancy,I1,Ideal,GIA,1040,Natural
Round,0.28,Orange,-,Fancy Deep,-,Fair,GIA,1510,Natural
Round,0.25,Orange,Brownish,Fancy Deep,I1,Fair,GIA,1720,Natural
Round,0.56,Orange,Brownish Yellowish,Fancy Deep,SI2,Very Good,GIA,2270,Natural
Round,0.54,Orange,Yellow,Fancy Deep,-,Fair,GIA,2430,Natural
Round,0.71,Orange,Yellowish,Fancy Deep,I1,Very Good,GIA,3670,Natural
