shape,carat,color,clarity,cut,authentication,ship date,price,natural
Round,0.3,K,I1,Very Good,GIA,43976,270,Natural
Round,0.3,H,I1,Good,GIA,43976,270,Natural
Round,0.3,K,SI2,Excellent,GIA,43976,280,Natural
Round,0.3,I,SI2,Excellent,GIA,43976,280,Natural
Round,0.41,K,I1,Good,GIA,43972,280,Natural
Round,0.32,M,SI1,Excellent,GIA,43972,280,Natural
Round,0.3,H,I1,Good,GIA,43976,280,Natural
Round,0.3,M,SI1,Excellent,GIA,43976,280,Natural
Round,0.33,K,I1,Excellent,GIA,43976,280,Natural
Round,0.3,G,I1,Very Good,GIA,43972,280,Natural
Round,0.34,J,SI2,Good,GIA,43972,280,Natural
Round,0.34,K,I1,Excellent,GIA,43976,280,Natural
Round,0.35,K,I1,Very Good,GIA,43972,280,Natural
Round,0.3,K,SI1,Excellent,GIA,43976,290,Natural
Round,0.3,J,I1,Excellent,GIA,43976,290,Natural
Round,0.3,K,SI1,Very Good,GIA,43976,290,Natural
Round,0.36,K,SI2,Excellent,GIA,43976,290,Natural
Round,0.33,K,VS2,Very Good,GIA,43972,290,Natural
Round,0.3,E,I1,Very Good,GIA,43976,290,Natural
Round,0.3,K,SI1,Very Good,GIA,43976,290,Natural
Round,0.32,I,SI2,Good,GIA,43972,290,Natural
Round,0.3,K,SI1,Very Good,GIA,43976,290,Natural
Round,0.24,J,VVS1,Excellent,GIA,43972,290,Natural
Round,0.3,K,SI1,Very Good,GIA,43976,290,Natural
Round,0.3,K,SI1,Very Good,GIA,43976,290,Natural
Round,0.3,M,SI1,Excellent,GIA,43976,290,Natural
Round,0.3,E,I1,Good,GIA,43976,300,Natural
Round,0.3,K,SI2,Very Good,GIA,43976,300,Natural
Round,0.3,L,SI2,Excellent,GIA,43976,300,Natural
Round,0.33,J,SI2,Very Good,GIA,43972,300,Natural
Round,0.33,M,SI1,Excellent,GIA,43972,300,Natural
Round,0.3,M,SI1,Excellent,GIA,43972,300,Natural
Round,0.3,M,SI1,Excellent,GIA,43972,300,Natural
Round,0.3,F,I1,Excellent,GIA,43976,300,Natural
Round,0.3,M,VVS1,Excellent,GIA,43976,300,Natural
Round,0.33,J,I1,Excellent,GIA,43976,300,Natural
Round,0.3,I,SI2,Excellent,GIA,43976,300,Natural
Round,0.31,H,I1,Very Good,GIA,43976,300,Natural
Round,0.3,L,SI1,Excellent,GIA,43976,300,Natural
Round,0.3,K,SI2,Very Good,GIA,43976,300,Natural
Round,0.3,K,SI2,Very Good,GIA,43976,300,Natural
Round,0.35,K,SI1,Good,GIA,43972,300,Natural
Round,0.34,L,SI1,Excellent,GIA,43972,300,Natural
Round,0.3,M,SI1,Excellent,GIA,43972,300,Natural
Round,0.3,M,SI1,Excellent,GIA,43972,300,Natural
Round,0.3,M,SI1,Excellent,GIA,43972,300,Natural
Round,0.3,F,I1,Good,GIA,43976,300,Natural
Round,0.3,J,SI2,Good,GIA,43976,300,Natural
Round,0.33,J,I1,Very Good,GIA,43976,300,Natural
Round,0.3,K,SI2,Excellent,GIA,43976,300,Natural
Round,0.3,K,SI2,Excellent,GIA,43976,300,Natural
Round,0.3,M,SI1,Excellent,GIA,43976,300,Natural
Round,0.32,M,SI1,Excellent,GIA,43972,300,Natural
Round,0.3,M,SI1,Excellent,GIA,43972,300,Natural
Round,0.3,F,I1,Good,GIA,43976,300,Natural
Round,0.3,K,SI1,Very Good,GIA,43976,300,Natural
Round,0.33,I,SI2,Excellent,GIA,43976,300,Natural
Round,0.3,K,SI1,Very Good,GIA,43976,300,Natural
Round,0.3,M,SI1,Excellent,GIA,43972,300,Natural
Round,0.3,G,SI2,Very Good,GIA,43976,300,Natural
Round,0.3,K,SI2,Excellent,GIA,43976,300,Natural
Round,0.32,L,SI1,Excellent,GIA,43976,300,Natural
Round,0.33,I,SI1,Excellent,GIA,43976,300,Natural
Round,0.31,K,SI1,Very Good,GIA,43976,300,Natural
Round,0.31,L,VVS1,Excellent,GIA,43976,300,Natural
Round,0.3,K,SI2,Very Good,GIA,43976,300,Natural
Round,0.31,L,VVS2,Excellent,GIA,43972,300,Natural
